Solid5500_2014_11_07_1_L01-1-Idx_3-3.bam	Solid5500_2014_11_07_1_L01-1-Idx_4-4.bam	Solid5500_2014_11_07_1_L01-1-Idx_5-5.bam	Solid5500_2014_11_07_1_L01-1-Idx_6-6.bam	Solid5500_2014_11_07_1_L02-1-Idx_7-7.bam	Solid5500_2014_11_07_1_L02-1-Idx_8-8.bam	Solid5500_2014_11_07_1_L02-1-Idx_9-9.bam	Solid5500_2014_11_07_1_L02-1-Idx_10-10.bam	Solid5500_2014_11_07_1_L03-1-Idx_9-9.bam	Solid5500_2014_11_07_1_L03-1-Idx_10-10.bam	Solid5500_2014_11_07_1_L03-1-Idx_11-11.bam	Solid5500_2014_11_07_1_L03-1-Idx_12-12.bam
ENSDARG00000094453	0	0	0	0	1,15107127993293	0,74366724858724	0	0	1,53938436947141	0	0	0
ENSDARG00000087085	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000079039	0	0	0	0	0	0,74366724858724	0	0	0	0	0	0
ENSDARG00000078750	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000077692	1,09177820944211	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000094184	0	0	0	0	2,30214255986585	0	0	0	0	0	0	0
ENSDARG00000095091	1,09177820944211	0,948693683537204	0	0	0	0	0	0	0	0	0	0
ENSDARG00000091460	0	0	0	0	1,15107127993293	0,74366724858724	0	0	0	0	0	0
ENSDARG00000074261	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000085392	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000095335	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000061094	2,18355641888422	0,948693683537204	0,66939608864918	0	1,15107127993293	0,74366724858724	1,76906218864364	1,03871024746606	0	0	0	0
ENSDARG00000091626	3,27533462832634	3,79477473414881	4,68577262054426	5,9312057806477	9,20857023946341	9,66767423163413	14,1524975091491	10,9064575983936	3,07876873894281	6,68917521398418	13,2959874425576	6,75226532739362
ENSDARG00000060049	0	0,948693683537204	0	0	0	0,74366724858724	0	0,51935512373303	0	0	1,02276826481212	1,92921866496961
